กก	gok
บักหล้า	bak.la:
บักหุ่ง	bak.huŋ
บักเขียเคีย	bak.khi:a.khi:a
บักแตง	bak.tɛ:ŋ
บักแตงโม	bak.tɛ:ŋ.mo:
บัง	baŋ
บังคับ	baŋ.khap
บัด	bat
บัดนี้	bat.ni:
บัดหนิ	bat.ni
บันจุ	ban.ju
บันชี	ban.chi:
บันญากาด	ban.ya:.ga:t
บันทัด	ban.that
บันทุก	ban.thuk
บันเทา	ban.thao
บันได	ban.dai
บัว	bu:a
บาง	ba:ŋ
บางสิ่งบางอย่าง	ba:ŋ.siŋ.ba:ŋ.ya:ŋ
บาด	ba:t
บาท	ba:t
บาน	ba:n
บิน	bin
บินทะบาด	bin.tha.ba:t
บีบ	bi:p
บึ่ด	bʉt
บืน	bʉ:n
บุ	bu
บูชา	bu:.cha:
บูด	bu:t
บ่	bɔ:
บ่ค่อย	bɔ:.khɔ:i
บ่งบอก	boŋ.bɔ:k
บ่ทันได้	bɔ:.than.dai
บ่อน	bɔn
บ่ฮู้อีโหน้อีเหน้	bɔ:.hu:.i:.no:.i:.ne:
บ่า	ba:
บ่าด	ba:t
บ่าย	ba:i
บ่าไหล่	ba:.lai
บ่แม่น	bɔ:.mɛ:n
บ้า	ba:
บ้าน	ba:n
บ้านนอก	ba:n.nɔ:k
บ้านเมียง	ba:n.mi:aŋ
บ้านเลียน	ba:n.li:an
ปก	pok
ปกกะติ	pok.ga.ti
ปน	pon
ปวด	pu:at
ปอก	pɔ:k
ปอดพัย	pɔ:t.phai
ปอบ	pɔ:p
ปะ	pa
ปะชาชน	pa.cha:.chon
ปะดับ	pa.dap
ปะติทิน	pa.ti.thin
ปะติเสด	pa.ti.se:t
ปะตู	pa.tu:
ปะมาน	pa.ma:n
ปะลินญาเอก	pa.lin.ɲa:.e:k
ปะลินญาโท	pa.lin.ɲa:.tho:
ปะลิมาน	pa.li.ma:n
ปะสา	pa.sa:
ปะเทด	pa.thet
ปะเลียน	pa.li:an
ปะโยก	pa.yo:k
ปะโยด	pa.yo:t
ปะโล่งโป่งเป่ง	pa.lo:ŋ.po:ŋ.pe:ŋ
ปัดจุบัน	pat.ju.ban
ปัดโท	pat.tho:
ปับ	pap
ปั่ก	pak
ปั่น	pan
ปั้ม	pam
ปา	pa:
ปาก	pa:k
ปากกา	pa:k.ga:
ปากกืก	pa:k.gʉ:k
ปากด	pa:.got
ปากดี	pa:k.di:
ปากเป็น	pa:k.pen
ปาด	pa:t
ปาตี้	pa:.ti:
ปานนั้น	pa:n.nan
ปานใด	pa:n.dai
ปาย	pa:i
ปายทาง	pa:i.tha:ŋ
ปาแดก	pa:.dɛ:k
ปิด	pit
ปิดบัง	pit.baŋ
ปิว	piu
ปี	pi:
ปีก	pi:k
ปีน	pi:n
ปี้ๆ	pi:.pi:
ปึก	pʉk
ปึกสา	pʉk.sa:
ปึ่กซึก	pʉk.sʉk
ปึ่บ	pʉp
ปืน	bʉ:n
ปุก	puk
ปุง	puŋ
ปุย	pui
ปุ่ม	pum
ปู	pu:
ปูก	pu:k
ปูน	pu:n
ป่วย	pu:ai
ป่อง	pɔŋ
ป่อน	pɔn
ป่อย	pɔ:i
ป่า	pa:
ป่าไม้	pa:.mai
ป้องกัน	pɔŋ.gan
ป้อน	pɔ:n
ป้า	pa:
ป้าย	pa:i
ป๊าด	pa:t
ผง	phoŋ
ผงชูลด	phoŋ.chu:.lot
ผงสะหัว	phoŋ.sa.hu:a
ผนผะหลิด	phon.pha.lit
ผนละไม้	phon.la.mai
ผม	phom
ผะหลิด	pha.lit
ผัก	phak
ผักกะเสด	phak.ga.se:t
ผักกาดขาว	phak.ga:t.kha:o
ผักบุ้ง	phak.buŋ
ผักอี่เสด	phak.i:.se:t
ผัด	phat
ผัว	phu:a
ผาย	pha:i
ผิดกดหมาย	phit.got.ma:i
ผิดใจ	phit.jai
ผิว	piu
ผิวหนัง	phiu.naŋ
ผืน	phʉ:n
ผูก	phu:k
ผ่า	pha:
ผ่าน	pha:n
ผ้า	pha:
ผ้าขนหนู	pha:.khon.nu:
ผ้าปูโต่ะ	pha:.pu:.to
ผ้าม้าน	pha:.ma:n
ผ้าห่ม	pha:.hom
ผ้าเซ็ดโต	pha:.set.to:
ฝน	fon
ฝะลั่ง	fa.laŋ
ฝักบัว	fak.bu:a
ฝัน	fan
ฝั่ง	faŋ
ฝา	fa:
ฝาก	fa:k
ฝาน	fa:n
ฝาผะหนัง	fa:.pha:.naŋ
ฝิงไฟ	fiŋ.fai
ฝ่าตีน	fa:.ti:n
ฝ่าย	fa:i
พกพา	phok.pha:
พวก	phu:ak
พวงมาลัย	phu:aŋ.ma:.lai
พวน	phu:an
พอ	phɔ:
พอดี	phɔ:.di:
พอน	phɔ:n
พอปะมาน	phɔ:.pa.ma:n
พอสมควน	phɔ:.som.khu:an
พอใจ	phɔ:.jai
พะ	pha
พะทัม	pha.tham
พะทาด	pha.tha:t
พะนม	pha.nom
พะนักงาน	pha.nak.ŋa:n
พะพุดทะลูบ	pha.phut.tha.lu:p
